ID	style	col	sample
MACH-UNK_MA-1280	Africa	Africa	Africa
MACH-UNK_MA-1290	Africa	Africa	Africa
MACH-UNK_MA-3089	Africa	Africa	Africa
MACH-UNK_MA-3107	Africa	Africa	Africa
MACH-UNK_MA-0314	Africa	Africa	Africa
MACH-UNK_MA-0351	Africa	Africa	Africa
MACH-UNK_MA-0333	Africa	Africa	Africa
MACH-UNK_MA-0455	Africa	Africa	Africa
MACH-UNK_MA-1213	Africa	Africa	Africa
MACH-UNK_MA-1227	Africa	Africa	Africa
MACH-UNK_MA-1262	Africa	Africa	Africa
MACH-UNK_MA-1285	Africa	Africa	Africa
MACH-UNK_MA-3078	Africa	Africa	Africa
MACH-UNK_MA-0330	Africa	Africa	Africa
MACH-UNK_MA-0292	Africa	Africa	Africa
MACH-UNK_MA-0411	Africa	Africa	Africa
MACH-UNK_MA-0459	Africa	Africa	Africa
MACH-UNK_MA-1209	Africa	Africa	Africa
MACH-UNK_MA-1228	Africa	Africa	Africa
MACH-UNK_MA-1231	Africa	Africa	Africa
MACH-UNK_MA-1237	Africa	Africa	Africa
MACH-UNK_MA-3126	Africa	Africa	Africa
MACH-UNK_MA-9998	Africa	Africa	Africa
MACH-UNK_MA-9999	Africa	Africa	Africa
MACH-UNK_MA-0304	Africa	Africa	Africa
MACH-UNK_MA-1203	Africa	Africa	Africa
MACH-UNK_MA-1195	Africa	Africa	Africa
MACH-UNK_MA-1250	Africa	Africa	Africa
MACH-UNK_MA-3153	Africa	Africa	Africa
MACH-UNK_MA-3074	Africa	Africa	Africa
MACH-UNK_MA-0222	Africa	Africa	Africa
MACH-UNK_MA-0217	Africa	Africa	Africa
MACH-UNK_MA-0387	Africa	Africa	Africa
MACH-UNK_MA-0389	Africa	Africa	Africa
MACH-UNK_MA-1175	Africa	Africa	Africa
MACH-UNK_MA-1186	Africa	Africa	Africa
MACH-UNK_MA-1251	Africa	Africa	Africa
MACH-UNK_MA-3156	Africa	Africa	Africa
MACH-UNK_MA-0090	Africa	Africa	Africa
MACH-UNK_MA-0096	Africa	Africa	Africa
MACH-UNK_MA-0193	Africa	Africa	Africa
MACH-UNK_MA-0201	Africa	Africa	Africa
MACH-UNK_MA-0031	Africa	Africa	Africa
MACH-UNK_MA-0153	Africa	Africa	Africa
MACH-UNK_MA-1167	Africa	Africa	Africa
MACH-UNK_MA-1143	Africa	Africa	Africa
MACH-UNK_MA-1147	Africa	Africa	Africa
MACH-UNK_MA-3165	Africa	Africa	Africa
MACH-UNK_MA-0208	Africa	Africa	Africa
MACH-UNK_MA-0005	Africa	Africa	Africa
MACH-UNK_MA-0030	Africa	Africa	Africa
MACH-UNK_MA-0195	Africa	Africa	Africa
MACH-UNK_MA-1104	Africa	Africa	Africa
MACH-UNK_MA-1105	Africa	Africa	Africa
MACH-UNK_MA-0037	Africa	Africa	Africa
MACH-UNK_MA-3007	Africa	Africa	Africa
MACH-UNK_MA-3167	Africa	Africa	Africa
MACH-UNK_MA-0231	Africa	Africa	Africa
MACH-UNK_MA-0262	Africa	Africa	Africa
MACH-UNK_MA-0188	Africa	Africa	Africa
MACH-UNK_MA-1071	Africa	Africa	Africa
MACH-UNK_MA-1064	Africa	Africa	Africa
MACH-UNK_MA-1165	Africa	Africa	Africa
MACH-UNK_MA-1135	Africa	Africa	Africa
MACH-UNK_MA-0026	Africa	Africa	Africa
MACH-UNK_MA-0045	Africa	Africa	Africa
MACH-UNK_MA-0065	Africa	Africa	Africa
MACH-UNK_MA-3176	Africa	Africa	Africa
MACH-UNK_MA-3179	Africa	Africa	Africa
MACH-UNK_MA-2252	Africa	Africa	Africa
MACH-UNK_MA-0238	Africa	Africa	Africa
MACH-UNK_MA-0266	Africa	Africa	Africa
MACH-UNK_MA-1036	Africa	Africa	Africa
MACH-UNK_MA-0183	Africa	Africa	Africa
MACH-UNK_MA-1078	Africa	Africa	Africa
MACH-UNK_MA-0128	Africa	Africa	Africa
MACH-UNK_MA-3021	Africa	Africa	Africa
MACH-UNK_MA-3026	Africa	Africa	Africa
MACH-UNK_MA-0057	Africa	Africa	Africa
MACH-UNK_MA-0074	Africa	Africa	Africa
MACH-UNK_MA-2258	Africa	Africa	Africa
MACH-UNK_MA-2261	Africa	Africa	Africa
MACH-UNK_MA-2262	Africa	Africa	Africa
MACH-UNK_MA-0252	Africa	Africa	Africa
